utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,9,0.0,81935,122453367503281,7,37.8,-675.9464721679688,0.03110000118613243,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.02,34.3,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,17,0.0,81935,122453373697472,5,40.0,79.94294738769531,0.03890000283718109,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.02,36.5,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,19,0.0,81935,122453372700969,6,39.3,-221.93844604492188,0.03760000318288803,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.02,35.8,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,21,0.0,81935,122453370210653,125,14.7,485.1632385253906,3.621500015258789,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.02,11.2,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,22,0.0,81935,122453375159063,46,20.1,313.3851318359375,0.9389999508857727,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.02,16.6,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,31,0.0,81935,122453368097627,40,21.6,25.004589080810547,0.7985000014305115,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.02,18.1,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,16,0.0,16399,122439311219692,83,16.9,210.22564697265625,1.7630000114440918,16,0.0,0.0,1.56109798E9,,,,0,,5,0.45,10.899999999999999,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,20,0.0,16399,122439359370285,11,33.7,-535.8700561523438,0.05140000209212303,16,0.0,0.0,1.56109798E9,,,,0,,5,0.45,27.700000000000003,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,25,0.0,16399,122439358476083,27,24.0,-391.4053039550781,0.5534999966621399,16,0.0,0.0,1.56109798E9,,,,0,,5,0.45,18.0,,,,,,
1633946435446,3943417667000000,18,,-1314038235779192430,-0.6750297546386719,45.68773147184402,21.108779168682087,9.954077376547213,145,29,0.0,16399,122439361025439,6,39.5,-544.89599609375,0.02110000140964985,16,0.0,0.0,1.56109798E9,,,,0,,5,0.45,33.5,,,,,,
